"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
20,1,"nb",1,"er_lm",246,0,0,0,0.0558375634517767,0.157894736842105,0.277777777777778,0.333333333333333
20,1,"nb",1,"abund_lm",185,61,0,0,0.0405405405405405,0.0714285714285714,0.0833333333333333,0.181818181818182
20,1,"nb",1,"occ_depth",246,0,0,0,0.106598984771574,0.315789473684211,0.277777777777778,0.333333333333333
20,1,"nb",1,"occ_full",246,0,0,0,0.0964467005076142,0.263157894736842,0.166666666666667,0.166666666666667
20,1,"nb",1,"occ_cal",246,0,0,0,0.0862944162436548,0.210526315789474,0.166666666666667,0.0833333333333333
20,1,"nb",1,"abund_trunc",185,61,0,0,0.0675675675675676,0.285714285714286,0.333333333333333,0.181818181818182
20,1,"nb",1,"occ_trunc",246,0,0,0,0.0913705583756345,0.263157894736842,0.166666666666667,0.166666666666667
20,1,"nb",1,"abund_ztnb",184,62,0,0,0.108843537414966,0.214285714285714,0.416666666666667,0.181818181818182
20,1,"nb",1,"occ_ztnb",185,61,0,0,0.0608108108108108,0.0714285714285714,0.0833333333333333,0.181818181818182
20,1,"nb",1,"lm_pseudo",246,0,0,0,0.0406091370558376,0.157894736842105,0.277777777777778,0.25
20,1,"nb",1,"lm_pseudo_depth",246,0,0,0,0.0456852791878173,0.210526315789474,0.333333333333333,0.25
20,1,"nb",1,"abund_lm_depth",184,62,0,0,0.0612244897959184,0,0.0833333333333333,0.181818181818182
20,1,"nb",1,"zip",232,14,0,0,0.0106382978723404,0,0,0.0833333333333333
20,1,"nb",1,"lm_pseudo_mc",246,0,0,0,0.0355329949238579,0.210526315789474,0.277777777777778,0.25
50,1,"nb",1,"naive",293,0,0,0,0.0429184549356223,0.368421052631579,0.05,0.380952380952381
50,1,"nb",1,"depthcov",293,0,0,0,0.0515021459227468,0.315789473684211,0.05,0.380952380952381
50,1,"nb",1,"er_lm",293,0,0,0,0.0429184549356223,0.263157894736842,0.15,0.476190476190476
50,1,"nb",1,"abund_lm",273,20,0,0.0512820512820513,0.032258064516129,0.117647058823529,0.3,0.315789473684211
50,1,"nb",1,"occ_depth",293,0,0,0,0.0729613733905579,0.368421052631579,0.05,0.428571428571429
50,1,"nb",1,"occ_full",293,0,0,0,0.0600858369098712,0.421052631578947,0,0.380952380952381
50,1,"nb",1,"occ_cal",293,0,0,0,0.0815450643776824,0.421052631578947,0,0.333333333333333
50,1,"nb",1,"abund_trunc",273,20,0,0.0769230769230769,0.0552995391705069,0.176470588235294,0.35,0.368421052631579
50,1,"nb",1,"occ_trunc",293,0,0,0,0.0729613733905579,0.421052631578947,0,0.476190476190476
50,1,"nb",1,"abund_ztnb",273,20,0.142857142857143,0.153846153846154,0.110599078341014,0.176470588235294,0.35,0.421052631578947
50,1,"nb",1,"occ_ztnb",273,20,0,0.0277777777777778,0.115207373271889,0.352941176470588,0.1,0.368421052631579
50,1,"nb",1,"lm_pseudo",293,0,0,0.0487804878048781,0.0515021459227468,0.315789473684211,0.3,0.380952380952381
50,1,"nb",1,"lm_pseudo_depth",293,0,0,0.0731707317073171,0.0515021459227468,0.315789473684211,0.25,0.380952380952381
50,1,"nb",1,"abund_lm_depth",273,20,0,0,0.032258064516129,0.0588235294117647,0.3,0.315789473684211
50,1,"nb",1,"zip",291,2,0,0,0.0517241379310345,0.315789473684211,0,0.2
50,1,"nb",1,"lm_pseudo_mc",293,0,0,0.024390243902439,0.0472103004291846,0.315789473684211,0.25,0.285714285714286
100,1,"nb",1,"naive",298,0,0.0833333333333333,0.239130434782609,0.0735930735930736,0.461538461538462,0.19047619047619,0.7
100,1,"nb",1,"depthcov",298,0,0,0.130434782608696,0.0562770562770563,0.5,0.238095238095238,0.6
100,1,"nb",1,"er_lm",298,0,0.0625,0.326086956521739,0.0606060606060606,0.5,0.380952380952381,0.75
100,1,"nb",1,"abund_lm",291,7,0.125,0.179487179487179,0.066079295154185,0,0.3,0.421052631578947
100,1,"nb",1,"occ_depth",298,0,0.238095238095238,0.347826086956522,0.0822510822510823,0.5,0.285714285714286,0.7
100,1,"nb",1,"occ_full",298,0,0.111111111111111,0.173913043478261,0.0909090909090909,0.5,0.19047619047619,0.7
100,1,"nb",1,"occ_cal",298,0,0,0.108695652173913,0.0692640692640693,0.423076923076923,0.142857142857143,0.45
100,1,"nb",1,"abund_trunc",291,7,0.1,0.230769230769231,0.0704845814977974,0.04,0.35,0.526315789473684
100,1,"nb",1,"occ_trunc",298,0,0.111111111111111,0.173913043478261,0.103896103896104,0.461538461538462,0.142857142857143,0.6
100,1,"nb",1,"abund_ztnb",290,8,0.166666666666667,0.256410256410256,0.106194690265487,0.12,0.45,0.473684210526316
100,1,"nb",1,"occ_ztnb",291,7,0.4,0.136363636363636,0.079295154185022,0.32,0.2,0.315789473684211
100,1,"nb",1,"lm_pseudo",298,0,0.36,0.390243902439024,0.0692640692640693,0.615384615384615,0.380952380952381,0.7
100,1,"nb",1,"lm_pseudo_depth",298,0,0.1875,0.317073170731707,0.0476190476190476,0.538461538461538,0.333333333333333,0.85
