"pi1","balance","comm","bloom","effect","rep","method","n_eval","shift","bias_null","rmse_all","type1","power","fdr","tpr","ci_cov","ref_purity"
0.4,"balanced","dominant",FALSE,"fixed",1,"oracle",300,0.260352439675247,0.0276995339432643,0.220360601210059,0.0888888888888889,0.958333333333333,0.0504201680672269,0.941666666666667,0.913333333333333,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"none",300,0.167204173656439,-0.124599568983427,0.229691550980671,0.115789473684211,1,0.4,0.8,0.886666666666667,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"clr",300,0.167204173656439,-0.0480855141716888,0.198122190899957,0.0666666666666667,1,0.0714285714285714,0.866666666666667,0.933333333333333,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"median",300,0.167204173656439,-0.0106815207732108,0.192122517965241,0.0456140350877193,1,0.0714285714285714,0.866666666666667,0.953333333333333,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"mode",300,0.167204173656439,0.0255772592203809,0.193163996054139,0.0526315789473684,1,0.117647058823529,1,0.95,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"huber",300,0.167204173656439,-0.0106479621552913,0.19212032070122,0.0456140350877193,1,0.0714285714285714,0.866666666666667,0.953333333333333,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"enull",300,0.167204173656439,0.00888462902422672,0.191835829352002,0.0526315789473684,1,0.125,0.933333333333333,0.946666666666667,NA
0.05,"all_up","dominant",FALSE,"fixed",1,"dacomp",240,0.167204173656439,0.0145017606357096,0.197413677539649,0.0486725663716814,1,0.0714285714285714,0.928571428571429,0.954166666666667,0.983333333333333
0.05,"all_up","dominant",FALSE,"fixed",1,"adapt",150,0.167204173656439,-0.0371731786598293,0.262748421508357,0.103703703703704,1,0.166666666666667,1,0.9,1
0.05,"all_up","dominant",FALSE,"fixed",1,"oracle",300,0.167204173656439,0.0426046046730126,0.195979816048987,0.0631578947368421,1,0.0625,1,0.94,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"none",300,0.408869374233568,-0.328417449829318,0.424364925335852,0.3875,0.633333333333333,0.63013698630137,0.45,0.556666666666667,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"clr",300,0.408869374233568,-0.164471603158481,0.296021976458422,0.183333333333333,0.95,0.266666666666667,0.733333333333333,0.77,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"median",300,0.408869374233568,-0.0568997832529291,0.237006284773047,0.0916666666666667,0.966666666666667,0.0576923076923077,0.816666666666667,0.9,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"mode",300,0.408869374233568,0.0459822133466782,0.218490944493987,0.0875,0.983333333333333,0.171428571428571,0.966666666666667,0.913333333333333,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"huber",300,0.408869374233568,-0.0913822941302315,0.252458578838744,0.104166666666667,0.966666666666667,0.1,0.75,0.873333333333333,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"enull",300,0.408869374233568,0.0260134928855032,0.218448034881624,0.0916666666666667,0.983333333333333,0.159420289855072,0.966666666666667,0.906666666666667,NA
0.2,"all_up","dominant",FALSE,"fixed",1,"dacomp",240,0.408869374233568,-0.0373000465196477,0.23505741180579,0.0957446808510638,0.961538461538462,0.109090909090909,0.942307692307692,0.8875,0.866666666666667
0.2,"all_up","dominant",FALSE,"fixed",1,"adapt",150,0.408869374233568,-0.114965686892209,0.313423394768925,0.244444444444444,0.966666666666667,0.205479452054795,0.966666666666667,0.78,1
0.2,"all_up","dominant",FALSE,"fixed",1,"oracle",300,0.408869374233568,0.0804519244042498,0.222816368059059,0.0875,0.983333333333333,0.171428571428571,0.966666666666667,0.91,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"none",300,0.66055568926937,-0.596797814485176,0.649086303642092,0.827777777777778,0.5,0.744791666666667,0.408333333333333,0.146666666666667,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"clr",300,0.66055568926937,-0.38024549362627,0.448526772020635,0.577777777777778,0.825,0.489130434782609,0.783333333333333,0.406666666666667,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"median",300,0.66055568926937,-0.19914822421213,0.298487304046917,0.211111111111111,0.933333333333333,0.18796992481203,0.9,0.77,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"mode",300,0.66055568926937,0.0517702618532664,0.205429486243276,0.0555555555555556,0.991666666666667,0.048,0.991666666666667,0.946666666666667,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"huber",300,0.66055568926937,-0.229816725032842,0.321655195457875,0.238888888888889,0.933333333333333,0.21969696969697,0.858333333333333,0.74,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"enull",300,0.66055568926937,0.00772366838359665,0.203275690337029,0.0388888888888889,0.991666666666667,0.040650406504065,0.983333333333333,0.943333333333333,NA
0.4,"all_up","dominant",FALSE,"fixed",1,"dacomp",240,0.66055568926937,-0.379748741549066,0.445898508239329,0.541666666666667,0.833333333333333,0.475177304964539,0.770833333333333,0.445833333333333,0.6
0.4,"all_up","dominant",FALSE,"fixed",1,"adapt",150,0.66055568926937,-0.260161363399904,0.227920436411339,0.0882352941176471,1,0.0252100840336134,1,0.92,0.973333333333333
